City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
75,sinjai,-5.1241,120.253,22.86,88,81,1.85,ID,1677861956
76,nikolskoye,59.7035,30.7861,-1.06,96,56,2.18,RU,1677861956
77,escanaba,45.7453,-87.0646,2.36,91,100,1.79,US,1677861736
78,ribeira grande,38.5167,-28.7,15.43,67,20,1.54,PT,1677861958
79,brae,60.3964,-1.353,5.44,72,82,8.24,GB,1677861958
80,adrar,20.5022,-10.0711,29.59,15,18,3.92,MR,1677861958
81,georgetown,5.4112,100.3354,24.97,94,40,0.51,MY,1677861789
82,tessalit,20.1986,1.0114,31.52,4,0,2.65,ML,1677861959
83,marquette,46.5333,-87.6335,-1.48,87,98,4.47,US,1677861960
84,saint-joseph,-21.3667,55.6167,27.21,80,81,1.88,RE,1677861960
85,kapaa,22.0752,-159.319,20.06,93,41,1.34,US,1677861961
86,great yarmouth,52.6083,1.7305,7.14,85,13,5.79,GB,1677861961
87,san pedro carcha,15.4833,-90.2667,26.34,47,0,2.06,GT,1677861961
88,riberalta,-10.9833,-66.1,30.11,70,75,6.17,BO,1677861962
89,codrington,-38.2667,141.9667,11.92,92,92,2.59,AU,1677861962
90,andenes,69.3143,16.1194,-2.82,68,40,10.29,NO,1677861963
91,nyurba,63.2842,118.3319,-1.76,92,100,3.38,RU,1677861963
92,shimoda,34.6667,138.95,5.61,64,16,2.1,JP,1677861964
93,honningsvag,70.9821,25.9704,0.86,75,20,8.23,NO,1677861964
94,coquimbo,-29.9533,-71.3436,17.85,88,100,4.12,CL,1677861815
95,cherskiy,68.75,161.3,-39.35,99,71,2.43,RU,1677861965
96,ayr,55.4627,-4.6339,6.95,65,100,1.54,GB,1677861965
97,aitape,-3.1374,142.3475,24.66,95,100,7.18,PG,1677861966
98,new norfolk,-42.7826,147.0587,10.95,68,47,0.76,AU,1677861966
99,camalu,30.85,-116.0667,12.16,65,24,2.1,MX,1677861967
100,dakar,14.6937,-17.4441,34.49,60,0,8.23,SN,1677861915
101,tiksi,71.6872,128.8694,-26.43,90,100,4.0,RU,1677861967
102,puerto baquerizo moreno,-0.9,-89.6,27.55,78,20,2.06,EC,1677861968
103,port elizabeth,-33.918,25.5701,22.16,94,75,6.17,ZA,1677861968
